Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,mrp_rupees,selling_price_rupees,savings,discount_category,stock_status,price_category,weight_category,quantity_category,sku_id
Munchies,Popular Essentials Mace/Javitri,9000,10,3,8100,20,False,20,90.0,81.0,9.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,898
Munchies,Dlicia Whip Topping Bottle,23500,27,5,17100,1000,False,1,235.0,171.0,64.0,High Discount,Low Stock,Affordable,Heavy,Single,899
Munchies,Mother's Recipe Paste Ginger & Garlic,7600,10,4,6800,300,False,300,76.0,68.0,8.0,Low Discount,Low Stock,Affordable,Medium,Bulk Pack,900
Munchies,24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle,41000,10,6,36900,1000,False,1,410.0,369.0,41.0,Low Discount,In Stock,Mid-Range,Heavy,Single,901
Munchies,Satyam Pulses Masur Dal,8700,6,6,8100,500,False,500,87.0,81.0,6.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,902
Munchies,Delight Nuts Pista Roasted & Salted,42500,20,6,34000,200,False,200,425.0,340.0,85.0,Medium Discount,In Stock,Mid-Range,Light,Bulk Pack,903
Munchies,"Top Ramen Noodles, Atta",8000,0,1,8000,280,False,280,80.0,80.0,0.0,No Discount,Low Stock,Affordable,Medium,Bulk Pack,904
Munchies,Hershey's Cocoa Powder,9500,0,5,9500,70,False,70,95.0,95.0,0.0,No Discount,Low Stock,Affordable,Light,Bulk Pack,905
Munchies,Praakritik Organic Singhara Atta,24000,6,4,22500,500,False,500,240.0,225.0,15.0,Low Discount,Low Stock,Mid-Range,Medium,Bulk Pack,906
Munchies,Gits Veg Biryani Ready to Eat,11000,10,6,9900,265,False,265,110.0,99.0,11.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,907
Munchies,Delight Nuts Cranberries Sliced ,29900,20,6,23900,200,False,200,299.0,239.0,60.0,Medium Discount,In Stock,Mid-Range,Light,Bulk Pack,908
Munchies,Borges Durum Wheat Pasta Superior Quality,25000,40,6,14900,500,False,500,250.0,149.0,101.0,High Discount,In Stock,Affordable,Medium,Bulk Pack,909
Munchies,Ceres Foods Laal Maas Instant Liquid Masala,22000,50,5,11000,200,False,200,220.0,110.0,110.0,Very High Discount,Low Stock,Affordable,Light,Bulk Pack,910
Munchies,Popular Essentials Sattu Atta,9000,12,3,7900,500,False,500,90.0,79.0,11.0,Medium Discount,Low Stock,Affordable,Medium,Bulk Pack,911
Munchies,Popular Essentials Mustard Seeds Rai Yellow,2500,0,5,2500,100,False,100,25.0,25.0,0.0,No Discount,Low Stock,Budget,Light,Bulk Pack,912
Munchies,Praakritik Organic Extra Virgin Coconut Oil,15000,10,5,13400,100,False,100,150.0,134.0,16.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,913
Munchies,Praakritik Organic Garlic Powder,11000,1,5,10800,100,False,100,110.0,108.0,2.0,Low Discount,Low Stock,Affordable,Light,Bulk Pack,914
Munchies,Sugarfree Gold Low Calorie Sweetner ,12500,5,6,11800,100,False,100,125.0,118.0,7.0,Low Discount,In Stock,Affordable,Light,Bulk Pack,915
Munchies,Aashirvaad Breakfast Instant Mix - Rice Idli,7500,30,6,5200,200,False,200,75.0,52.0,23.0,High Discount,In Stock,Affordable,Light,Bulk Pack,916
Munchies,Kitchens Of India Mutter Paneer,13000,4,6,12400,285,False,285,130.0,124.0,6.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,917
Munchies,Ching's Secret Veg Manchurian Masala,4400,0,6,4400,60,False,60,44.0,44.0,0.0,No Discount,In Stock,Budget,Light,Bulk Pack,918
Munchies,Popular Essentials Jowa Flour,5000,2,5,4900,500,False,500,50.0,49.0,1.0,Low Discount,Low Stock,Budget,Medium,Bulk Pack,919
Munchies,Everest Shahi Biryani Masala,24500,0,6,24500,200,False,200,245.0,245.0,0.0,No Discount,In Stock,Mid-Range,Light,Bulk Pack,920
Munchies,Popular Essentials Black Til,5000,6,4,4700,100,False,100,50.0,47.0,3.0,Low Discount,Low Stock,Budget,Light,Bulk Pack,921
Munchies,Popular Essentials Pancharatna Dal,8000,10,6,7200,500,False,500,80.0,72.0,8.0,Low Discount,In Stock,Affordable,Medium,Bulk Pack,922
Munchies,Saffola 100% Pure Honey,47500,8,2,43700,1000,False,750,475.0,437.0,38.0,Low Discount,Low Stock,Mid-Range,Heavy,Bulk Pack,923
